Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112919C27,407:27.01:44941622:1.12:32,405:27.14:41300937:1.07:110,437:26.7:32448063:0.9:97,503:26.71:33124982:0.75:1045,1218:25.99:27991933:0.45:308,1363:26.79:41353173:0.7:2020,2849:26.75:37309667:0.67:1643,3655:28.03:52741127:1.4:1618,2937:29.46:55638958:2.5:3986,[2590:29.56:44372725:2.85:434
UBER_112919C27.5,2210:27.01:44941622:0.87:378,2368:27.14:41300937:0.9:1414,2537:26.7:32448063:0.65:494,2690:26.71:33124982:0.5:1868,3624:25.99:27991933:0.3:651,4147:26.79:41353173:0.5:1884,4415:26.75:37309667:0.45:845,6733:28.03:52741127:1.1:1492,6428:29.46:55638958:2.05:3622,[5501:29.56:44372725:2.34:256
UBER_112919C28,665:27.01:44941622:0.7:282,597:27.14:41300937:0.65:381,756:26.7:32448063:0.52:244,826:26.71:33124982:0.37:252,890:25.99:27991933:0.2:146,899:26.79:41353173:0.3:631,1050:26.75:37309667:0.35:772,1543:28.03:52741127:0.73:6266,4450:29.46:55638958:1.62:1106,[4166:29.56:44372725:1.7:493
UBER_112919C28.5,211:27.01:44941622:0.66:9,208:27.14:41300937:0.5:43,220:26.7:32448063:0.4:192,332:26.71:33124982:0.3:78,351:25.99:27991933:0.18:41,328:26.79:41353173:0.25:65,357:26.75:37309667:0.25:35,424:28.03:52741127:0.55:2409,1676:29.46:55638958:1.3:1680,[1381:29.56:44372725:1.33:523
UBER_112919C29,450:27.01:44941622:0.4:95,478:27.14:41300937:0.4:111,488:26.7:32448063:0.3:264,736:26.71:33124982:0.15:31,753:25.99:27991933:0.15:76,814:26.79:41353173:0.17:397,1008:26.75:37309667:0.15:378,1231:28.03:52741127:0.36:3539,3243:29.46:55638958:0.97:1803,[3066:29.56:44372725:1.0:571
UBER_112919C29.5,1650:27.01:44941622:0.32:296,1876:27.14:41300937:0.27:25,1894:26.7:32448063:0.21:18,1909:26.71:33124982:0.11:7,1910:25.99:27991933:0.07:80,1989:26.79:41353173:0.1:63,2036:26.75:37309667:0.12:6,2061:28.03:52741127:0.23:620,2212:29.46:55638958:0.7:4635,[3935:29.56:44372725:0.7:2610
UBER_112919C30,2009:27.01:44941622:0.23:5875,7545:27.14:41300937:0.25:380,7587:26.7:32448063:0.15:705,8086:26.71:33124982:0.07:7331,6538:25.99:27991933:0.05:505,6097:26.79:41353173:0.05:43,6112:26.75:37309667:0.05:78,6120:28.03:52741127:0.18:948,6628:29.46:55638958:0.5:12041,[10405:29.56:44372725:0.46:6955
UBER_112919C30.5,138:27.01:44941622:0.18:137,158:27.14:41300937:0.19:6,157:26.7:32448063:0.12:12,155:26.71:33124982:0.08:6,159:25.99:27991933:0.05:3,162:26.79:41353173:0.05:0,162:26.75:37309667:0.05:104,276:28.03:52741127:0.1:22,284:29.46:55638958:0.33:1396,[1147:29.56:44372725:0.32:1182
UBER_112919C31,567:27.01:44941622:0.15:4,571:27.14:41300937:0.1:16,578:26.7:32448063:0.07:15,573:26.71:33124982:0.06:4,573:25.99:27991933:0.06:0,573:26.79:41353173:0.06:0,573:26.75:37309667:0.04:1,573:28.03:52741127:0.05:43,569:29.46:55638958:0.2:510,[904:29.56:44372725:0.24:7249
UBER_112919C31.5,146:27.01:44941622:0.15:1,145:27.14:41300937:0.06:5,142:26.7:32448063:0.06:0,142:26.71:33124982:0.06:12,140:25.99:27991933:0.06:0,140:26.79:41353173:0.03:3,139:26.75:37309667:0.03:0,139:28.03:52741127:0.05:103,235:29.46:55638958:0.14:94,[318:29.56:44372725:0.19:566
