Symbol,20191104,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QQQ_112919P201,1087:200.2649,1179:199.76,1389:201.23:15155921:2.24:336,1479:200.96:10128652:2.24:240,1457:201.54:14695374:1.95:352,1541:201.59:15792836:2.0:419,1621:201.43:16903669:1.85:700,1813:202.91:18151654:1.2:925,1908:203.07:18408797:0.93:1390,2706:202.07:32364255:1.12:6186,5681:0:0:1.14:36825,[38495:201.83:17186554:0.75:27118
QQQ_112919P202,333:200.2649,463:199.76,480:201.23:15155921:2.63:238,656:200.96:10128652:2.74:30,655:201.54:14695374:2.35:1308,1793:201.59:15792836:2.44:1043,1945:201.43:16903669:2.34:159,1976:202.91:18151654:1.51:4368,5185:203.07:18408797:1.19:3789,5236:202.07:32364255:1.45:5162,U:0:0:U:U,[8031:201.83:17186554:1.12:11553
QQQ_112919P202.5,177:200.2649,207:199.76,325:201.23:15155921:2.99:2,326:200.96:10128652:3.0:29,346:201.54:14695374:2.85:183,441:201.59:15792836:2.66:212,535:201.43:16903669:2.76:257,759:202.91:18151654:1.7:625,1004:203.07:18408797:1.37:1646,1344:202.07:32364255:1.68:1580,1565:0:0:1.83:682,[1721:201.83:17186554:1.36:2087
QQQ_112919P203,441:200.2649,539:199.76,517:201.23:15155921:3.31:51,533:200.96:10128652:3.25:27,546:201.54:14695374:3.15:274,637:201.59:15792836:2.88:51,663:201.43:16903669:2.74:201,750:202.91:18151654:1.89:903,867:203.07:18408797:1.55:7756,7064:202.07:32364255:1.9:11292,6241:0:0:2.11:799,[6344:201.83:17186554:1.63:1436
QQQ_112919P204,136:200.2649,173:199.76,375:201.23:15155921:3.74:6,380:200.96:10128652:3.93:12,377:201.54:14695374:3.43:410,657:201.59:15792836:3.77:104,753:201.43:16903669:3.32:50,786:202.91:18151654:2.36:261,940:203.07:18408797:2.07:545,1376:202.07:32364255:2.55:1264,1632:0:0:2.67:576,[1799:201.83:17186554:2.36:532
QQQ_112919P205,36:200.2649,72:199.76,205:201.23:15155921:4.69:131,274:200.96:10128652:4.64:177,389:201.54:14695374:4.11:663,712:201.59:15792836:4.33:445,812:201.43:16903669:4.1:123,800:202.91:18151654:2.99:261,817:203.07:18408797:2.69:163,956:202.07:32364255:3.15:579,966:0:0:3.5:345,[985:201.83:17186554:3.2:336
QQQ_112919P206,21:200.2649,40:199.76,79:201.23:15155921:5.41:27,96:200.96:10128652:5.63:10,106:201.54:14695374:4.71:136,163:201.59:15792836:4.81:10,163:201.43:16903669:4.98:114,267:202.91:18151654:3.9:310,475:203.07:18408797:3.4:463,1312:202.07:32364255:3.96:1211,1101:0:0:4.33:269,[998:201.83:17186554:4.42:130
QQQ_112919P207,1:200.2649,1:199.76,7:201.23:15155921:7.32:1,7:200.96:10128652:7.32:0,7:201.54:14695374:6.01:10,17:201.59:15792836:5.55:5,22:201.43:16903669:5.73:22,28:202.91:18151654:4.86:66,88:203.07:18408797:4.16:12,108:202.07:32364255:5.42:44,107:0:0:5.14:81,[110:201.83:17186554:5.34:3
QQQ_112919P207.5,19:200.2649,19:199.76,22:201.23:15155921:7.57:0,22:200.96:10128652:7.57:0,22:201.54:14695374:6.21:3,22:201.59:15792836:6.13:5,25:201.43:16903669:6.62:1,26:202.91:18151654:5.32:2,26:203.07:18408797:4.3:20,46:202.07:32364255:6.3:24,24:0:0:6.28:40,[13:201.83:17186554:6.28:0
QQQ_112919P208,0:200.2649,0:199.76,0:201.23:15155921:7.53:20,20:200.96:10128652:7.53:0,20:201.54:14695374:7.53:0,20:201.59:15792836:6.89:9,20:201.43:16903669:6.82:10,30:202.91:18151654:5.53:23,49:203.07:18408797:5.93:1,64:202.07:32364255:4.85:6,56:0:0:6.33:45,[40:201.83:17186554:6.33:0
QQQ_120619P195,943:200.2649,6507:199.76,6728:201.23:15155921:1.28:86,6784:200.96:10128652:1.16:138,6820:201.54:14695374:1.14:249,6733:201.59:15792836:1.07:119,6751:201.43:16903669:0.96:226,6821:202.91:18151654:0.64:257,6981:203.07:18408797:0.52:181,6982:202.07:32364255:0.6:224,7088:0:0:0.63:1652,7641:201.83:17186554:0.44:249
