Symbol,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COST_112219P297.5,17.0,17:296.5,27:298.94,33:295.86,32:299.83,35:297.11,57.0,50:296.82,50:299.18,64:301.57,62:305.21:2399347:1.65:73,73:302.62:1492559:2.05:59,125:300.84:1110020:2.02:52,151:300.5:1439161:2.18:90,203:302.9:1514298:1.1:121,234:304.59:1255483:0.72:227,325:303.66:1613590:0.89:198,431:304.54:1241527:0.42:223,564:302.24:1760759:0.58:675,1070:300.72:1153529:0.62:679,983:300.27:1302385:0.32:428,[972:299.31:1277135:0.01:1150
COST_112219P300,91.0,89:296.5,87:298.94,88:295.86,91:299.8,101:297.11,74.0,74:296.82,80:299.18,88:301.57,89:305.21:2399347:2.18:146,114:302.62:1492559:2.7:133,204:300.84:1110020:2.82:187,329:300.5:1439161:3.45:190,449:302.9:1514298:1.92:187,428:304.59:1255483:1.19:166,443:303.66:1613590:1.43:480,712:304.54:1241527:0.74:605,883:302.24:1760759:1.3:612,1118:300.72:1153529:1.43:525,1150:300.27:1302385:1.22:754,[1214:299.31:1277135:0.92:1028
COST_112219P302.5,44.0,46:296.5,45:298.94,45:295.86,36:299.8,36:297.11,36.0,36:296.82,32:299.18,32:301.57,47:305.21:2399347:2.79:59,73:302.62:1492559:3.56:93,100:300.84:1110020:4.15:43,133:300.5:1439161:4.45:121,213:302.9:1514298:2.66:146,228:304.59:1255483:1.94:204,261:303.66:1613590:2.29:626,534:304.54:1241527:1.38:486,741:302.24:1760759:2.14:509,810:300.72:1153529:3.06:272,782:300.27:1302385:2.82:229,[675:299.31:1277135:3.43:342
COST_112219P305,53.0,53:296.5,53:298.94,53:295.86,53:299.8,53:297.11,53.0,53:296.82,53:299.18,60:301.57,62:305.21:2399347:3.8:90,80:302.62:1492559:5.15:104,113:300.84:1110020:6.4:13,118:300.5:1439161:5.74:48,140:302.9:1514298:4.17:141,214:304.59:1255483:2.91:326,274:303.66:1613590:3.58:185,374:304.54:1241527:2.41:236,400:302.24:1760759:3.7:238,466:300.72:1153529:5.35:234,375:300.27:1302385:4.75:57,[343:299.31:1277135:5.9:100
COST_112219P307.5,33.0,33:296.5,33:298.94,33:295.86,33:299.8,33:297.11,38.0,47:296.82,47:299.18,50:301.57,50:305.21:2399347:4.27:39,48:302.62:1492559:6.45:32,52:300.84:1110020:6.45:0,52:300.5:1439161:6.45:0,52:302.9:1514298:6.45:0,52:304.59:1255483:4.71:93,113:303.66:1613590:5.35:96,108:304.54:1241527:4.0:58,121:302.24:1760759:5.8:35,131:300.72:1153529:8.27:23,126:300.27:1302385:7.19:12,[127:299.31:1277135:8.68:61
COST_112219P310,1.0,1:296.5,1:298.94,1:295.86,1:299.8138,10:297.11,10.0,10:296.82,11:299.18,12:301.57,12:305.21:2399347:5.85:21,21:302.62:1492559:5.85:0,21:300.84:1110020:9.66:11,12:300.5:1439161:9.66:0,12:302.9:1514298:7.9:20,22:304.59:1255483:7.45:17,32:303.66:1613590:7.24:40,U:304.54:1241527::,64:302.24:1760759:7.9:12,63:300.72:1153529:9.08:41,4:300.27:1302385:9.4:0,[4:299.31:1277135:9.4:0
COST_112219P312.5,0.0,0:296.5,0:298.94,0:295.86,0:299.8138,0:297.11,0.0,0:296.82,0:299.18,0:301.57,0:305.21:2399347:8.76:9,6:302.62:1492559:10.4:5,11:300.84:1110020:10.4:0,11:300.5:1439161:10.4:0,11:302.9:1514298:9.0:3,11:304.59:1255483:9.65:2,11:303.66:1613590:8.5:1,U:304.54:1241527::,15:302.24:1760759:9.55:8,11:300.72:1153529:11.58:1,3:300.27:1302385:11.58:0,[3:299.31:1277135:11.58:0
COST_112219P315,3.0,3:296.5,3:298.94,3:295.86,3:299.8138,3:297.11,3.0,4:296.82,4:299.18,4:301.57,4:305.21:2399347:10.84:2,5:302.62:1492559:12.22:2,6:300.84:1110020:12.22:0,6:300.5:1439161:12.22:0,3:302.9:1514298:12.22:0,3:304.59:1255483:12.22:0,3:303.66:1613590:11.95:3,6:304.54:1241527:9.2:2,7:302.24:1760759:13.0:1,0:300.72:1153529:13.0:0,0:300.27:1302385:13.0:0,[0:299.31:1277135:13.0:0
COST_112219P317.5,0.0,0:296.5,0:298.94,0:295.86,0:299.87,0:297.11,0.0,0:296.82,0:299.18,0:301.57,0:305.21:2399347:11.5:4,4:302.62:1492559:11.5:0,4:300.84:1110020:11.5:0,4:300.5:1439161:11.5:0,0:302.9:1514298:11.5:0,0:304.59:1255483:11.5:0,0:303.66:1613590:11.5:0,U:304.54:1241527::,0:302.24:1760759:11.5:0,0:300.72:1153529:11.5:0,0:300.27:1302385:11.5:0,[0:299.31:1277135:11.5:0
COST_112219P320,0.0,0:296.5,0:298.94,0:295.86,0:299.87,0:297.11,0.0,0:296.82,0:299.18,0:301.57,0:305.21:2399347:0.0:0,0:302.62:1492559:0.0:0,0:300.84:1110020:0.0:0,0:300.5:1439161:0.0:0,0:302.9:1514298:0.0:0,0:304.59:1255483:0.0:0,0:303.66:1613590:0.0:0,U:304.54:1241527::,0:302.24:1760759:0.0:0,0:300.72:1153529:0.0:0,0:300.27:1302385:0.0:0,[0:299.31:1277135:0.0:0
COST_112919P272.5,11.0,14:296.5,15:298.94,15:295.86,15:299.87,44:297.11,44.0,44:296.82,48:299.18,49:301.57,49:305.21:2399347:0.26:0,49:302.62:1492559:0.26:0,49:300.84:1110020:0.14:1,49:300.5:1439161:0.14:0,49:302.9:1514298:0.14:0,49:304.59:1255483:0.14:0,49:303.66:1613590:0.14:0,U:304.54:1241527::,48:302.24:1760759:0.03:0,48:300.72:1153529:0.03:0,48:300.27:1302385:0.03:0,48:299.31:1277135:0.03:0
COST_112919P275,34.0,37:296.5,135:298.94,135:295.86,130:299.855,139:297.11,144.0,144:296.82,144:299.18,174:301.57,167:305.21:2399347:0.1:1,167:302.62:1492559:0.23:2,165:300.84:1110020:0.15:5,164:300.5:1439161:0.3:1,165:302.9:1514298:0.12:1,165:304.59:1255483:0.08:7,171:303.66:1613590:0.04:6,171:304.54:1241527:0.01:4,171:302.24:1760759:0.03:1,170:300.72:1153529:0.05:69,U:300.27:1302385:U:U,[236:299.31:1277135:0.15:0
COST_112919P277.5,39.0,40:296.5,40:298.94,43:295.86,41:299.855,60:297.11,61.0,68:296.82,78:299.18,81:301.57,81:305.21:2399347:0.24:17,92:302.62:1492559:0.35:1,92:300.84:1110020:0.29:13,88:300.5:1439161:0.22:34,73:302.9:1514298:0.11:16,69:304.59:1255483:0.11:0,69:303.66:1613590:0.08:7,67:304.54:1241527:0.02:6,65:302.24:1760759:0.02:0,65:300.72:1153529:0.06:1,65:300.27:1302385:0.06:0,[65:299.31:1277135:0.06:0
COST_112919P280,60.0,66:296.5,84:298.94,83:295.86,82:299.86,105:297.11,118.0,174:296.82,171:299.18,183:301.57,164:305.21:2399347:0.33:39,158:302.62:1492559:0.41:15,160:300.84:1110020:0.31:14,165:300.5:1439161:0.28:1,165:302.9:1514298:0.17:40,163:304.59:1255483:0.13:156,293:303.66:1613590:0.1:35,U:304.54:1241527::,304:302.24:1760759:0.07:3,304:300.72:1153529:0.09:277,330:300.27:1302385:0.07:101,[425:299.31:1277135:0.06:19
