Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_112919P35.5,4:38.45,4:38.93,4:39.12,4:39.18:1975398:0.5:0,4:39.26:834553:0.5:0,4:39.59:870370:0.5:0,4:39.1:1020665:0.5:0,4:39.34:929455:0.5:0,4:38.69:1013846:0.5:0,4:39.02:1174741:0.5:0,4:75.43:212417:0.5:0,4:38.73:1214584:0.5:0,4:38.94:770105:0.5:0,4:38.76:1014804:0.5:0,[4:38.64:777620:0.5:0
JBL_112919P36,1:38.45,1:38.93,1:39.12,1:39.18:1975398:1.15:0,1:39.26:834553:1.15:0,1:39.59:870370:1.15:0,1:39.1:1020665:1.15:0,1:39.34:929455:1.15:0,1:38.69:1013846:1.15:0,1:39.02:1174741:1.15:0,1:75.43:212417:1.15:0,1:38.73:1214584:1.15:0,1:38.94:770105:1.15:0,1:38.76:1014804:1.15:0,[1:38.64:777620:1.15:0
JBL_112919P36.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919P37,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.2:1,1:39.34:929455:0.2:0,1:38.69:1013846:0.2:0,1:39.02:1174741:0.2:0,1:75.43:212417:0.2:0,1:38.73:1214584:0.2:0,U:38.94:770105:U:U,1:38.76:1014804:0.2:0,[1:38.64:777620:0.2:0
JBL_112919P37.5,19:38.45,19:38.93,19:39.12,19:39.18:1975398:1.2:0,19:39.26:834553:0.37:11,13:39.59:870370:0.37:0,13:39.1:1020665:0.37:0,13:39.34:929455:0.37:0,13:38.69:1013846:0.37:0,13:39.02:1174741:0.37:0,13:75.43:212417:0.24:10,20:38.73:1214584:0.24:0,U:38.94:770105:.3:U,20:38.76:1014804:0.24:0,[20:38.64:777620:0.24:0
JBL_112919P38,0:38.45,0:38.93,12:39.12,12:39.18:1975398:0.65:0,12:39.26:834553:0.65:0,12:39.59:870370:0.65:0,12:39.1:1020665:0.65:0,12:39.34:929455:0.65:0,12:38.69:1013846:0.65:0,12:39.02:1174741:0.65:0,12:75.43:212417:0.65:0,12:38.73:1214584:0.65:0,12:38.94:770105:0.25:20,32:38.76:1014804:0.25:0,[32:38.64:777620:0.25:0
JBL_112919P38.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.45:2,2:38.76:1014804:0.4:10,[10:38.64:777620:0.28:2
JBL_112919P39,0:38.45,0:38.93,0:39.12,5:39.18:1975398:1.0:0,5:39.26:834553:1.0:0,5:39.59:870370:1.0:0,5:39.1:1020665:1.0:0,5:39.34:929455:0.71:4,9:38.69:1013846:0.71:0,9:39.02:1174741:0.71:0,9:75.43:212417:0.71:0,9:38.73:1214584:0.71:0,U:38.94:770105:U:U,48:38.76:1014804:0.6:0,[48:38.64:777620:0.6:0
JBL_112919P39.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.93:1,1:38.69:1013846:0.93:0,1:39.02:1174741:0.93:0,1:75.43:212417:0.9:1,2:38.73:1214584:0.9:0,2:38.94:770105:0.9:0,2:38.76:1014804:0.9:1,[1:38.64:777620:0.9:0
JBL_112919P40,0:38.45,0:38.93,0:39.12,5:39.18:1975398:1.55:0,5:39.26:834553:1.55:0,5:39.59:870370:1.55:0,5:39.1:1020665:1.55:0,5:39.34:929455:1.55:0,5:38.69:1013846:1.55:0,5:39.02:1174741:1.55:0,5:75.43:212417:1.55:0,5:38.73:1214584:1.55:0,5:38.94:770105:1.55:0,5:38.76:1014804:1.55:0,[5:38.64:777620:1.55:0
JBL_112919P40.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,U:38.94:770105:U:U,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
