Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_120619C165,308:161.11:3265029:3.72:113,383:161.78:3536960:3.73:54,433:162.86:3697018:4.01:62,453:162.6:5383958:3.89:61,481:163.05:3705452:4.0:95,534:163.21:3653186:3.65:47,547:162.77:5557347:3.8:916,1007:163.96:4950800:4.6:694,1466:300.72:1153529:4.13:596
CRM_120619C167.5,407:161.11:3265029:2.46:22,417:161.78:3536960:2.79:21,436:162.86:3697018:2.9:30,459:162.6:5383958:2.92:11,465:163.05:3705452:3.0:138,589:163.21:3653186:2.71:204,717:162.77:5557347:2.88:85,746:163.96:4950800:3.45:56,U:300.72:1153529:U:U
CRM_120619C170,285:161.11:3265029:2.06:42,324:161.78:3536960:2.19:17,333:162.86:3697018:2.1:68,380:162.6:5383958:2.0:46,405:163.05:3705452:2.1:21,426:163.21:3653186:1.8:25,447:162.77:5557347:2.0:138,487:163.96:4950800:2.52:203,589:300.72:1153529:2.08:138
CRM_120619C172.5,269:161.11:3265029:1.21:7,267:161.78:3536960:1.52:21,275:162.86:3697018:1.38:21,288:162.6:5383958:1.43:12,285:163.05:3705452:1.6:68,335:163.21:3653186:1.25:61,391:162.77:5557347:1.44:101,396:163.96:4950800:1.8:41,424:300.72:1153529:1.45:301
CRM_120619C175,2:161.11:3265029:0.93:1,3:161.78:3536960:0.93:0,3:162.86:3697018:0.95:6,8:162.6:5383958:0.97:20,19:163.05:3705452:0.98:11,28:163.21:3653186:0.83:13,39:162.77:5557347:1.0:64,95:163.96:4950800:1.22:14,U:300.72:1153529:U:U
CRM_120619C177.5,33:161.11:3265029:0.48:10,41:161.78:3536960:0.66:1,41:162.86:3697018:0.68:14,53:162.6:5383958:0.64:14,51:163.05:3705452:0.64:0,51:163.21:3653186:0.64:0,51:162.77:5557347:0.64:0,51:163.96:4950800:0.6:5,51:300.72:1153529:0.68:1
CRM_120619C180,51:161.11:3265029:0.35:2,53:161.78:3536960:0.46:1,54:162.86:3697018:0.45:12,63:162.6:5383958:0.41:20,82:163.05:3705452:0.46:6,86:163.21:3653186:0.35:2,87:162.77:5557347:0.44:107,110:163.96:4950800:0.54:20,124:300.72:1153529:0.39:29
CRM_120619C182.5,4:161.11:3265029:0.25:0,4:161.78:3536960:0.28:1,5:162.86:3697018:0.36:1,4:162.6:5383958:0.26:6,9:163.05:3705452:0.32:2,11:163.21:3653186:0.22:6,14:162.77:5557347:0.26:51,56:163.96:4950800:0.26:11,61:300.72:1153529:0.24:5
CRM_120619C185,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.22:14,13:163.05:3705452:0.22:0,13:163.21:3653186:0.16:2,14:162.77:5557347:0.15:5,19:163.96:4950800:0.15:13,32:300.72:1153529:0.25:1
CRM_121319C145,10:161.11:3265029:15.3:0,10:161.78:3536960:15.3:0,10:162.86:3697018:15.3:0,10:162.6:5383958:15.3:0,10:163.05:3705452:15.3:0,10:163.21:3653186:15.3:0,10:162.77:5557347:15.3:0,10:163.96:4950800:15.3:0,10:300.72:1153529:15.3:0
CRM_121319C146,5:161.11:3265029:16.0:0,5:161.78:3536960:16.0:0,5:162.86:3697018:16.0:0,5:162.6:5383958:16.0:0,5:163.05:3705452:16.0:0,5:163.21:3653186:16.0:0,5:162.77:5557347:16.0:0,5:163.96:4950800:16.0:0,5:300.72:1153529:16.0:0
CRM_121319C147,5:161.11:3265029:13.65:0,5:161.78:3536960:13.65:0,5:162.86:3697018:13.65:0,5:162.6:5383958:13.65:0,5:163.05:3705452:13.65:0,5:163.21:3653186:13.65:0,5:162.77:5557347:13.65:0,5:163.96:4950800:13.65:0,5:300.72:1153529:13.65:0
CRM_121319C148,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950800:0.0:0,0:300.72:1153529:0.0:0
CRM_121319C149,1:161.11:3265029:11.56:0,1:161.78:3536960:11.56:0,1:162.86:3697018:11.56:0,1:162.6:5383958:11.56:0,1:163.05:3705452:11.56:0,1:163.21:3653186:11.56:0,1:162.77:5557347:11.56:0,1:163.96:4950800:14.85:1,U:300.72:1153529:U:U
CRM_121319C150,0:161.11:3265029:12.2:0,0:161.78:3536960:13.5:6,6:162.86:3697018:15.31:1,6:162.6:5383958:14.3:2,6:163.05:3705452:14.3:0,6:163.21:3653186:14.31:1,7:162.77:5557347:14.5:2,9:163.96:4950800:14.01:1,10:300.72:1153529:14.01:0
CRM_121319C152.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950800:0.0:0,0:300.72:1153529:13.96:5
CRM_121319C155,13:161.11:3265029:9.48:0,13:161.78:3536960:9.74:2,13:162.86:3697018:11.2:5,13:162.6:5383958:11.51:3,13:163.05:3705452:11.51:0,13:163.21:3653186:10.0:4,13:162.77:5557347:9.8:8,21:163.96:4950800:11.0:12,20:300.72:1153529:10.75:3
CRM_121319C157.5,288:161.11:3265029:7.4:0,288:161.78:3536960:7.4:0,288:162.86:3697018:7.4:0,288:162.6:5383958:9.66:3,291:163.05:3705452:8.89:1,291:163.21:3653186:8.89:0,291:162.77:5557347:8.58:2,293:163.96:4950800:8.58:0,293:300.72:1153529:10.7:20
CRM_121319C160,81:161.11:3265029:6.5:81,128:161.78:3536960:6.9:6,129:162.86:3697018:7.8:39,133:162.6:5383958:6.8:11,133:163.05:3705452:7.5:24,135:163.21:3653186:6.7:41,148:162.77:5557347:7.05:15,150:163.96:4950800:7.87:16,158:300.72:1153529:7.7:16
CRM_121319C162.5,47:161.11:3265029:5.22:56,79:161.78:3536960:5.25:48,122:162.86:3697018:5.75:35,111:162.6:5383958:5.55:46,142:163.05:3705452:5.75:58,197:163.21:3653186:5.19:23,208:162.77:5557347:5.6:148,294:163.96:4950800:6.4:69,296:300.72:1153529:5.95:9
CRM_121319C165,18:161.11:3265029:4.15:18,25:161.78:3536960:3.85:6,31:162.86:3697018:4.4:25,52:162.6:5383958:4.42:46,75:163.05:3705452:4.64:8,77:163.21:3653186:3.93:35,101:162.77:5557347:4.4:46,126:163.96:4950800:5.12:79,U:300.72:1153529:U:U
CRM_121319C167.5,7:161.11:3265029:2.82:15,20:161.78:3536960:3.32:1,20:162.86:3697018:3.15:41,37:162.6:5383958:3.34:11,47:163.05:3705452:3.55:12,56:163.21:3653186:3.05:10,64:162.77:5557347:3.35:8,69:163.96:4950800:3.85:3,67:300.72:1153529:3.45:43
CRM_121319C170,66:161.11:3265029:2.28:20,65:161.78:3536960:2.46:28,86:162.86:3697018:2.72:22,90:162.6:5383958:2.41:24,105:163.05:3705452:2.68:2,107:163.21:3653186:2.14:3,108:162.77:5557347:2.42:18,120:163.96:4950800:2.95:283,391:300.72:1153529:2.53:62
CRM_121319C172.5,27:161.11:3265029:1.37:0,27:161.78:3536960:1.37:0,27:162.86:3697018:1.91:16,43:162.6:5383958:1.69:13,39:163.05:3705452:1.92:4,39:163.21:3653186:1.59:306,342:162.77:5557347:1.74:22,345:163.96:4950800:2.05:2,344:300.72:1153529:1.79:19
