Symbol,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABBV_112219C87,0,0:82.99,23:81.93,23:82.08,22:82.01:6560104:0.08:0,22:85.17:9420181:0.63:301,257:85.54:6219193:0.59:162,377:86.54:9648955:1.04:536,370:86.57:4948264:0.95:987,500:87.64:4676686:1.53:220,519:88.59:6687424:1.99:190,U:267.1:21677338::,482:89.02:7469818:2.53:127,472:87.17:5804948:0.98:281,590:86.39:4706929:0.31:239,[666:86.05:7728326:0.01:548
ABBV_112219C90,0,0:82.99,0:81.93,1:82.08,1:82.01:6560104:0.03:0,1:85.17:9420181:0.13:147,148:85.54:6219193:0.1:10,155:86.54:9648955:0.2:1399,983:86.57:4948264:0.16:1361,1082:87.64:4676686:0.35:1420,1252:88.59:6687424:0.49:2603,U:267.1:21677338::,1674:89.02:7469818:0.45:4210,2333:87.17:5804948:0.08:2705,1900:86.39:4706929:0.02:181,[1951:86.05:7728326:0.01:46
ABBV_112919C76.5,34,34:82.99,34:81.93,36:82.08,36:82.01:6560104:5.19:4,34:85.17:9420181:5.19:0,34:85.54:6219193:5.19:0,34:86.54:9648955:5.19:0,34:86.57:4948264:5.19:0,34:87.64:4676686:5.19:0,34:88.59:6687424:12.1:8,38:267.1:21677338:12.85:3,40:89.02:7469818:12.85:0,U:87.17:5804948:5.0:U,40:86.39:4706929:12.85:0,40:86.05:7728326:12.85:0
ABBV_112919C77,67,72:82.99,72:81.93,69:82.08,69:82.01:6560104:5.0:1,70:85.17:9420181:8.49:12,80:85.54:6219193:8.49:0,80:86.54:9648955:11.3:1,80:86.57:4948264:11.3:0,80:87.64:4676686:11.3:0,80:88.59:6687424:11.3:0,80:267.1:21677338:11.3:0,80:89.02:7469818:11.3:0,80:87.17:5804948:11.3:0,80:86.39:4706929:11.3:0,80:86.05:7728326:9.05:1
ABBV_112919C77.5,134,130:82.99,129:81.93,139:82.08,137:82.01:6560104:4.23:25,137:85.17:9420181:7.83:4,141:85.54:6219193:7.83:0,141:86.54:9648955:9.8:10,131:86.57:4948264:9.8:0,131:87.64:4676686:8.9:1,131:88.59:6687424:8.9:0,131:267.1:21677338:8.9:0,:89.02:7469818:0.2:U,U:87.17:5804948:U:U,126:86.39:4706929:11.65:0,126:86.05:7728326:8.82:2
ABBV_112919C78,165,164:82.99,164:81.93,164:82.08,165:82.01:6560104:3.95:2,165:85.17:9420181:3.95:0,165:85.54:6219193:3.95:0,165:86.54:9648955:8.7:2,165:86.57:4948264:8.7:0,165:87.64:4676686:8.7:0,165:88.59:6687424:10.97:21,148:267.1:21677338:11.37:2,147:89.02:7469818:11.37:0,147:87.17:5804948:11.37:0,147:86.39:4706929:11.37:0,147:86.05:7728326:11.37:0
ABBV_112919C78.5,100,98:82.99,92:81.93,93:82.08,93:82.01:6560104:3.68:3,93:85.17:9420181:5.17:10,87:85.54:6219193:5.17:0,87:86.54:9648955:9.8:4,83:86.57:4948264:9.8:0,83:87.64:4676686:9.8:0,83:88.59:6687424:10.2:1,83:267.1:21677338:10.33:1,84:89.02:7469818:10.33:0,U:87.17:5804948:U:U,84:86.39:4706929:10.33:0,84:86.05:7728326:10.33:0
ABBV_112919C79,107,98:82.99,97:81.93,96:82.08,98:82.01:6560104:2.75:0,98:85.17:9420181:2.75:0,98:85.54:6219193:6.65:6,98:86.54:9648955:6.65:0,98:86.57:4948264:6.65:0,98:87.64:4676686:6.65:0,98:88.59:6687424:6.65:0,98:267.1:21677338:6.65:0,98:89.02:7469818:11.0:4,98:87.17:5804948:11.0:0,98:86.39:4706929:7.12:1,97:86.05:7728326:6.64:4
ABBV_112919C79.5,53,53:82.99,62:81.93,61:82.08,61:82.01:6560104:3.12:2,61:85.17:9420181:3.12:0,61:85.54:6219193:3.12:0,61:86.54:9648955:3.12:0,61:86.57:4948264:7.75:3,60:87.64:4676686:7.75:0,60:88.59:6687424:9.56:1,U:267.1:21677338::,60:89.02:7469818:9.56:0,60:87.17:5804948:9.56:0,60:86.39:4706929:9.56:0,60:86.05:7728326:9.56:0
ABBV_112919C80,384,359:82.99,365:81.93,364:82.08,351:82.01:6560104:2.74:87,345:85.17:9420181:5.45:30,319:85.54:6219193:5.88:5,318:86.54:9648955:6.88:18,304:86.57:4948264:6.88:0,304:87.64:4676686:6.88:0,304:88.59:6687424:9.05:63,U:267.1:21677338::,346:89.02:7469818:9.3:23,344:87.17:5804948:9.3:0,344:86.39:4706929:6.11:10,344:86.05:7728326:5.73:10
