Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ROKU_112919C121,32.0,32:131.22,432:133.74,32:146.88,32:147.24,32:149.67,32.0,32:140.51,33:139.57,33:141.05,21:118.46:52644159:6.15:138,100:121.94:19173380:6.7:55,109:129.21:20638338:10.5:14,108:135.35:24213386:15.8:15,110:142.37:20539499:20.5:13,99:148.7:26177439:28.27:5,95:157.3:26521332:37.2:4,U:160.12:27647305::,91:158.93:25639047:37.05:31,109:155.91:21562539:36.1:3,110:158.75:14819880:38.57:2
ROKU_112919C122,31.0,31:131.22,19:133.74,26:146.88,26:147.24,26:149.6388,26.0,26:140.51,25:139.57,25:141.05,25:118.46:52644159:5.51:294,55:121.94:19173380:6.27:368,195:129.21:20638338:10.05:147,U:135.35:24213386::,205:142.37:20539499:20.0:23,220:148.7:26177439:27.0:78,144:157.3:26521332:35.5:38,U:160.12:27647305::,U:158.93:25639047:U:U,146:155.91:21562539:40.0:1,147:158.75:14819880:40.0:0
ROKU_112919C123,14.0,25:131.22,43:133.74,25:146.88,26:147.24,26:149.6388,26.0,26:140.51,26:139.57,24:141.05,24:118.46:52644159:5.25:34,47:121.94:19173380:5.75:61,71:129.21:20638338:9.33:622,166:135.35:24213386:13.85:49,160:142.37:20539499:19.65:42,161:148.7:26177439:26.1:7,157:157.3:26521332:34.47:8,156:160.12:27647305:38.23:8,156:158.93:25639047:27.2:0,156:155.91:21562539:34.8:1,156:158.75:14819880:34.8:0
ROKU_112919C124,34.0,34:131.22,44:133.74,31:146.88,25:147.24,25:149.6388,25.0,25:140.51,25:139.57,25:141.05,25:118.46:52644159:4.91:130,75:121.94:19173380:5.5:25,87:129.21:20638338:8.92:47,74:135.35:24213386:13.5:49,73:142.37:20539499:17.6:40,84:148.7:26177439:25.03:19,82:157.3:26521332:32.2:1,81:160.12:27647305:32.2:0,81:158.93:25639047:32.2:0,81:155.91:21562539:32.2:0,81:158.75:14819880:34.55:5
ROKU_112919C125,296.0,464:131.22,328:133.74,464:146.88,458:147.24,434:149.6388,434.0,434:140.51,436:139.57,436:141.05,436:118.46:52644159:4.55:437,617:121.94:19173380:4.9:108,651:129.21:20638338:8.5:368,653:135.35:24213386:12.68:653,469:142.37:20539499:18.25:109,471:148.7:26177439:24.3:70,460:157.3:26521332:32.65:37,U:160.12:27647305::,448:158.93:25639047:33.65:34,451:155.91:21562539:35.03:2,449:158.75:14819880:32.9:51
ROKU_112919C126,271.0,432:131.22,79:133.74,432:146.88,432:147.24,438:149.6975,438.0,438:140.51,438:139.57,438:141.05,438:118.46:52644159:4.01:142,474:121.94:19173380:4.5:43,482:129.21:20638338:7.55:75,477:135.35:24213386:12.02:442,240:142.37:20539499:17.85:37,225:148.7:26177439:23.2:5,224:157.3:26521332:31.75:3,223:160.12:27647305:34.75:14,213:158.93:25639047:31.8:31,202:155.91:21562539:28.84:6,200:158.75:14819880:31.65:61
ROKU_112919C127,20.0,21:131.22,29:133.74,18:146.88,12:147.24,12:149.68,11.0,11:140.51,12:139.57,12:141.05,12:118.46:52644159:3.91:342,83:121.94:19173380:4.43:28,83:129.21:20638338:7.35:185,171:135.35:24213386:11.45:51,162:142.37:20539499:14.8:12,163:148.7:26177439:22.32:9,162:157.3:26521332:31.1:10,159:160.12:27647305:33.18:24,151:158.93:25639047:29.51:2,150:155.91:21562539:29.51:0,150:158.75:14819880:29.51:0
ROKU_112919C128,40.0,43:131.22,16:133.74,43:146.88,42:147.24,42:149.68,41.0,41:140.51,41:139.57,41:141.05,41:118.46:52644159:3.7:135,89:121.94:19173380:4.0:69,85:129.21:20638338:6.75:125,112:135.35:24213386:10.64:72,108:142.37:20539499:15.65:29,87:148.7:26177439:22.0:13,86:157.3:26521332:30.45:9,88:160.12:27647305:34.2:16,90:158.93:25639047:31.8:23,111:155.91:21562539:28.22:2,112:158.75:14819880:28.22:0
ROKU_112919C129,37.0,45:131.22,23:133.74,43:146.88,43:147.24,43:149.6642,36.0,36:140.51,32:139.57,32:141.05,U:118.46:52644159::,60:121.94:19173380:3.39:17,62:129.21:20638338:5.95:78,109:135.35:24213386:9.42:64,99:142.37:20539499:15.15:71,120:148.7:26177439:21.0:15,118:157.3:26521332:28.2:10,U:160.12:27647305::,105:158.93:25639047:30.0:2,105:155.91:21562539:30.0:0,105:158.75:14819880:30.55:3
ROKU_112919C130,164.0,332:131.22,148:133.74,323:146.88,316:147.24,315:149.6642,300.0,299:140.51,299:139.57,295:141.05,292:118.46:52644159:3.2:543,438:121.94:19173380:3.2:378,565:129.21:20638338:5.85:616,694:135.35:24213386:9.1:573,602:142.37:20539499:14.4:130,541:148.7:26177439:20.2:91,543:157.3:26521332:27.4:126,541:160.12:27647305:32.21:64,510:158.93:25639047:28.25:21,512:155.91:21562539:26.2:91,468:158.75:14819880:28.7:88
ROKU_112919C131,11.0,84:131.22,173:133.74,81:146.88,78:147.24,78:149.6,78.0,78:140.51,77:139.57,76:141.05,77:118.46:52644159:3.0:41,81:121.94:19173380:3.09:39,106:129.21:20638338:5.2:36,117:135.35:24213386:8.5:355,284:142.37:20539499:13.75:109,192:148.7:26177439:18.4:14,186:157.3:26521332:27.05:59,U:160.12:27647305::,177:158.93:25639047:29.2:2,177:155.91:21562539:29.2:0,177:158.75:14819880:27.28:11
ROKU_112919C132,29.0,29:131.22,18:133.74,41:146.88,36:147.24,36:149.6074,36.0,36:140.51,36:139.57,36:141.05,36:118.46:52644159:3.25:169,86:121.94:19173380:2.66:41,85:129.21:20638338:4.85:109,154:135.35:24213386:8.15:202,164:142.37:20539499:12.4:49,161:148.7:26177439:19.17:16,163:157.3:26521332:25.5:26,153:160.12:27647305:30.01:8,145:158.93:25639047:27.97:1,144:155.91:21562539:25.5:2,144:158.75:14819880:26.43:1
ROKU_112919C133,15.0,16:131.22,15:133.74,12:146.88,12:147.24,19:149.61,19.0,19:140.51,19:139.57,19:141.05,19:118.46:52644159:2.62:83,59:121.94:19173380:2.42:33,46:129.21:20638338:4.45:25,54:135.35:24213386:7.64:320,101:142.37:20539499:11.9:73,103:148.7:26177439:17.6:14,98:157.3:26521332:25.2:9,95:160.12:27647305:29.4:44,U:158.93:25639047:U:U,U:155.91:21562539:U:U,61:158.75:14819880:27.2:3
ROKU_112919C134,12.0,23:131.22,26:133.74,23:146.88,12:147.24,12:149.65,22.0,22:140.51,22:139.57,22:141.05,22:118.46:52644159:2.43:87,80:121.94:19173380:2.31:47,88:129.21:20638338:4.0:149,93:135.35:24213386:6.95:151,134:142.37:20539499:11.25:326,142:148.7:26177439:16.6:47,U:157.3:26521332:.:,124:160.12:27647305:28.5:77,89:158.93:25639047:24.65:23,84:155.91:21562539:22.55:4,88:158.75:14819880:22.55:0
ROKU_112919C135,139.0,149:131.22,305:133.74,149:146.88,125:147.24,125:149.65,127.0,122:140.51,116:139.57,114:141.05,114:118.46:52644159:2.28:182,177:121.94:19173380:2.05:89,202:129.21:20638338:3.67:352,310:135.35:24213386:6.4:621,475:142.37:20539499:10.8:497,444:148.7:26177439:15.95:174,398:157.3:26521332:23.33:66,409:160.12:27647305:27.57:47,390:158.93:25639047:24.1:87,395:155.91:21562539:22.25:28,385:158.75:14819880:23.4:108
ROKU_112919C136,27.0,173:131.22,80:133.74,173:146.88,173:147.24,177:149.65,171.0,171:140.51,171:139.57,171:141.05,171:118.46:52644159:2.05:26,183:121.94:19173380:1.86:4,182:129.21:20638338:3.25:58,210:135.35:24213386:5.9:113,246:142.37:20539499:10.2:230,263:148.7:26177439:14.42:66,267:157.3:26521332:23.25:37,U:160.12:27647305::,247:158.93:25639047:19.2:5,U:155.91:21562539:U:U,244:158.75:14819880:23.05:3
ROKU_112919C137,18.0,18:131.22,2:133.74,18:146.88,10:147.24,14:149.5967,14.0,14:140.51,12:139.57,36:141.05,35:118.46:52644159:2.36:12,35:121.94:19173380:1.75:20,33:129.21:20638338:3.07:29,53:135.35:24213386:5.5:56,81:142.37:20539499:9.27:469,206:148.7:26177439:14.32:60,175:157.3:26521332:21.45:20,U:160.12:27647305::,167:158.93:25639047:21.95:49,155:155.91:21562539:20.15:68,144:158.75:14819880:21.63:26
ROKU_112919C138,16.0,15:131.22,15:133.74,15:146.88,15:147.24,15:149.5967,15.0,15:140.51,19:139.57,21:141.05,18:118.46:52644159:1.87:42,45:121.94:19173380:1.59:15,44:129.21:20638338:2.81:22,51:135.35:24213386:5.1:66,79:142.37:20539499:9.0:219,125:148.7:26177439:13.54:66,100:157.3:26521332:20.35:21,111:160.12:27647305:24.19:17,108:158.93:25639047:20.65:7,108:155.91:21562539:20.35:23,106:158.75:14819880:19.55:28
