Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
KEYS_011720C82.5,U,U,U,U,U,U,U,U,168:106.83:743776:20.4:0,168:109.08:1215346:20.4:0,168:107.37:1546481:20.4:0,168:108.13:769554:20.4:0,168:107.21:550606:20.4:0,168:105.75:1096732:20.4:0,[168:103.66:1857092:20.4:0
KEYS_011720C85,U,U,U,U,U,U,U,U,572:106.83:743776:20.88:0,572:109.08:1215346:24.0:3,572:107.37:1546481:25.1:10,562:108.13:769554:24.06:20,542:107.21:550606:23.8:5,546:105.75:1096732:23.12:2,[546:103.66:1857092:23.12:0
KEYS_011720C87.5,U,U,U,U,U,U,U,U,50:106.83:743776:19.0:0,50:109.08:1215346:19.0:0,50:107.37:1546481:19.0:0,50:108.13:769554:21.8:20,50:107.21:550606:21.8:0,50:105.75:1096732:21.8:0,[50:103.66:1857092:21.8:0
KEYS_011720C90,U,U,U,U,U,U,U,U,293:106.83:743776:18.2:0,293:109.08:1215346:20.26:16,277:107.37:1546481:18.6:34,243:108.13:769554:19.3:3,240:107.21:550606:18.2:3,235:105.75:1096732:18.6:1,[234:103.66:1857092:15.6:2
KEYS_011720C92.5,U,U,U,U,U,U,U,U,42:106.83:743776:14.17:0,42:109.08:1215346:14.17:0,42:107.37:1546481:18.33:2,40:108.13:769554:18.33:0,40:107.21:550606:17.2:1,40:105.75:1096732:17.2:0,[40:103.66:1857092:17.2:0
KEYS_011720C95,U,U,U,U,U,U,U,U,1565:106.83:743776:13.17:0,1565:109.08:1215346:15.0:5,1560:107.37:1546481:15.06:9,1554:108.13:769554:15.06:0,1554:107.21:550606:15.06:0,1554:105.75:1096732:13.2:2,[1552:103.66:1857092:12.31:16
KEYS_011720C97.5,U,U,U,U,U,U,U,U,92:106.83:743776:11.75:2,90:109.08:1215346:13.15:3,87:107.37:1546481:14.1:1,87:108.13:769554:12.9:10,77:107.21:550606:13.03:2,75:105.75:1096732:13.03:0,[75:103.66:1857092:10.05:1
KEYS_011720C140,U,U,U,U,U,U,U,U,U,U,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,2:105.75:1096732:0.15:0,[2:103.66:1857092:0.15:0
KEYS_011720C145,U,U,U,U,U,U,U,U,U,U,0:107.37:1546481:0.0:0,0:108.13:769554:0.12:2,2:107.21:550606:0.12:0,2:105.75:1096732:0.12:0,[2:103.66:1857092:0.12:0
KEYS_011720C150,U,U,U,U,U,U,U,U,U,U,0:107.37:1546481:0.0:0,0:108.13:769554:0.0:0,0:107.21:550606:0.0:0,0:105.75:1096732:0.0:0,[0:103.66:1857092:0.0:0
KEYS_011720C77.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,23:103.66:1857092:23.5:0
