Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_112919P177.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,U:300.72:1153529:U:U
CRM_112919P180,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,U:300.72:1153529:U:U
CRM_112919P182.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:0.0:0
CRM_112919P185,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:0.0:0
CRM_120619P145,23:161.11:3265029:0.96:5,28:161.78:3536960:0.98:11,37:162.86:3697018:0.74:1,37:162.6:5383958:0.76:6,41:163.05:3705452:0.73:1,41:163.21:3653186:0.73:20,56:162.77:5557347:0.55:30,86:163.96:4950808:0.53:21,103:300.72:1153529:0.46:5
CRM_120619P146,156:161.11:3265029:1.16:3,153:161.78:3536960:1.0:8,155:162.86:3697018:0.82:10,161:162.6:5383958:0.83:11,158:163.05:3705452:0.83:0,158:163.21:3653186:0.83:0,158:162.77:5557347:0.63:22,162:163.96:4950808:0.63:0,162:300.72:1153529:0.22:1
CRM_120619P147,278:161.11:3265029:1.28:0,278:161.78:3536960:1.15:9,286:162.86:3697018:0.91:3,287:162.6:5383958:0.99:15,288:163.05:3705452:0.99:0,288:163.21:3653186:0.99:0,288:162.77:5557347:0.63:162,364:163.96:4950808:0.63:0,364:300.72:1153529:0.63:0
CRM_120619P148,433:161.11:3265029:1.49:31,455:161.78:3536960:1.2:12,447:162.86:3697018:1.02:10,437:162.6:5383958:1.06:9,434:163.05:3705452:1.06:0,434:163.21:3653186:1.06:0,434:162.77:5557347:0.67:5,429:163.96:4950808:0.67:0,429:300.72:1153529:0.68:5
CRM_120619P149,258:161.11:3265029:1.74:0,258:161.78:3536960:1.4:13,271:162.86:3697018:1.24:17,288:162.6:5383958:1.15:7,293:163.05:3705452:1.08:1,294:163.21:3653186:0.82:10,294:162.77:5557347:0.82:0,294:163.96:4950808:0.82:0,294:300.72:1153529:0.61:21
CRM_120619P150,172:161.11:3265029:1.77:32,184:161.78:3536960:1.69:9,189:162.86:3697018:1.39:18,198:162.6:5383958:1.33:50,222:163.05:3705452:1.19:7,227:163.21:3653186:0.99:890,903:162.77:5557347:1.12:13,916:163.96:4950808:1.01:36,925:300.72:1153529:0.86:14
CRM_120619P152.5,177:161.11:3265029:2.61:12,175:161.78:3536960:2.23:61,210:162.86:3697018:1.64:16,216:162.6:5383958:1.73:11,222:163.05:3705452:1.73:0,222:163.21:3653186:1.73:0,222:162.77:5557347:1.53:21,239:163.96:4950808:1.37:1,238:300.72:1153529:1.0:41
CRM_120619P155,535:161.11:3265029:3.05:82,594:161.78:3536960:2.79:167,651:162.86:3697018:2.42:67,646:162.6:5383958:2.23:73,608:163.05:3705452:2.25:16,618:163.21:3653186:1.76:74,567:162.77:5557347:1.89:194,537:163.96:4950808:1.8:46,U:300.72:1153529:U:U
CRM_120619P157.5,28:161.11:3265029:3.85:47,59:161.78:3536960:3.6:8,67:162.86:3697018:3.03:30,79:162.6:5383958:3.05:6,85:163.05:3705452:2.62:120,181:163.21:3653186:2.48:41,187:162.77:5557347:2.62:57,210:163.96:4950808:2.48:76,U:300.72:1153529:U:U
CRM_120619P160,285:161.11:3265029:4.95:272,499:161.78:3536960:4.55:1080,949:162.86:3697018:3.85:174,1030:162.6:5383958:3.8:351,1123:163.05:3705452:3.45:123,1037:163.21:3653186:3.29:193,1158:162.77:5557347:3.6:570,1139:163.96:4950808:3.29:178,1261:300.72:1153529:2.88:528
CRM_120619P162.5,3:161.11:3265029:6.3:0,3:161.78:3536960:5.75:65,68:162.86:3697018:4.75:93,37:162.6:5383958:4.9:23,47:163.05:3705452:4.5:60,98:163.21:3653186:4.33:10,106:162.77:5557347:4.65:342,424:163.96:4950808:4.2:395,637:300.72:1153529:3.97:142
