Symbol,20191030,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PFE_120619P39,6:38.48,24:36.93:11900287:1.86:0,24:36.97:12644366:1.86:0,24:36.6:24554579:1.86:0,24:36.55:23893614:1.86:0,0:37.28:34345742:1.86:0,0:134.06:3619873:1.86:0,0:37.08:13118292:1.86:0,0:37.74:19869602:1.86:0,[0:38.33:24233217:0.81:100
PFE_120619P39.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P40,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P40.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P41,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P41.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P42,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P42.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P43,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,U:37.08:13118292:U:U,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_122019P29,110:38.48,120:36.93:11900287:0.02:0,120:36.97:12644366:0.02:0,120:36.6:24554579:0.02:0,120:36.55:23893614:0.02:0,120:37.28:34345742:0.02:0,120:134.06:3619873:0.02:0,U:37.08:13118292:U:U,120:37.74:19869602:0.02:0,120:38.33:24233217:0.02:0
