Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COHR_011720C115,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C120,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C125,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C130,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C135,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C140,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C145,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C150,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:10.7:1,1:151.78:265748:10.15:1,0:153.57:140165:10.15:0,0:149.75:308135:10.15:0,[0:150.86:152258:9.3:2
COHR_011720C155,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C160,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:5.0:1,1:153.57:140165:5.0:0,1:149.75:308135:5.0:1,[2:150.86:152258:5.0:0
COHR_011720C165,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:5.2:1,1:151.78:265748:5.2:0,1:153.57:140165:5.2:0,1:149.75:308135:5.2:0,[1:150.86:152258:5.2:0
COHR_011720C170,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:3.65:1,1:151.78:265748:3.65:0,1:153.57:140165:3.65:0,1:149.75:308135:3.65:0,[1:150.86:152258:3.65:0
COHR_011720C175,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:1.6:1,1:153.57:140165:2.0:1,1:149.75:308135:2.45:0,[1:150.86:152258:2.45:0
COHR_011720C180,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C185,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:1.22:1,1:151.78:265748:1.22:0,1:153.57:140165:1.22:0,1:149.75:308135:1.22:0,[1:150.86:152258:1.22:0
COHR_011720C190,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C195,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_011720C200,U,U,U,U,U,U,U,U,U,U,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_122019C100,U,U,U,U,U,U,U,U,U,U,U,U,U,12:149.75:308135:65.1:0,12:150.86:152258:65.1:0
COHR_011720C100,U,U,U,U,U,U,U,U,U,U,U,U,U,0:149.75:308135:0.0:0,0:150.86:152258:0.0:0
