Symbol,20191104,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QQQ_112919C206,316:200.2649,423:199.76,449:201.23:15155921:0.48:12,448:200.96:10128652:0.44:58,450:201.54:14695374:0.51:122,514:201.59:15792836:0.46:84,520:201.43:16903669:0.42:47,535:202.91:18151654:0.46:185,600:203.07:18408797:0.47:187,1049:202.07:32364255:0.16:515,1445:201.7:17883581:0.1:343,[1525:201.83:17186554:0.03:526
QQQ_112919C207,222:200.2649,352:199.76,277:201.23:15155921:0.36:17,278:200.96:10128652:0.3:192,432:201.54:14695374:0.32:251,609:201.59:15792836:0.31:552,985:201.43:16903669:0.22:553,743:202.91:18151654:0.29:112,770:203.07:18408797:0.26:98,853:202.07:32364255:0.07:221,883:201.7:17883581:0.05:137,[808:201.83:17186554:0.02:154
QQQ_112919C207.5,1130:200.2649,1132:199.76,1146:201.23:15155921:0.3:2,1145:200.96:10128652:0.24:3,1148:201.54:14695374:0.36:2,1148:201.59:15792836:0.27:66,1118:201.43:16903669:0.18:9,1118:202.91:18151654:0.2:22,1108:203.07:18408797:0.16:30,1092:202.07:32364255:0.04:42,1104:201.7:17883581:0.04:10,[1100:201.83:17186554:0.01:2457
QQQ_112919C208,52:200.2649,105:199.76,105:201.23:15155921:0.27:0,105:200.96:10128652:0.2:65,165:201.54:14695374:0.25:36,189:201.59:15792836:0.19:44,229:201.43:16903669:0.16:7,225:202.91:18151654:0.17:142,311:203.07:18408797:0.15:6110,6341:202.07:32364255:0.04:46,6338:201.7:17883581:0.02:22,[6334:201.83:17186554:0.01:3266
QQQ_120619C195,74:200.2649,4048:199.76,4113:201.23:15155921:7.69:0,4113:200.96:10128652:7.35:1,4114:201.54:14695374:7.38:25,4130:201.59:15792836:7.55:11,4127:201.43:16903669:7.55:9,4128:202.91:18151654:8.26:48,4169:203.07:18408797:8.68:43,4209:202.07:32364255:7.12:37,4176:201.7:17883581:7.47:24,4177:201.83:17186554:7.08:45
QQQ_120619C195.5,161:200.2649,160:199.76,190:201.23:15155921:7.0:5,191:200.96:10128652:6.59:4,191:201.54:14695374:7.31:2,193:201.59:15792836:7.03:6,193:201.43:16903669:6.41:7,198:202.91:18151654:6.41:0,198:203.07:18408797:6.41:0,198:202.07:32364255:7.01:18,216:201.7:17883581:6.7:5,[221:201.83:17186554:6.43:4
QQQ_120619C196,89:200.2649,177:199.76,244:201.23:15155921:6.53:41,273:200.96:10128652:6.25:2,273:201.54:14695374:7.3:13,274:201.59:15792836:6.86:38,284:201.43:16903669:6.78:132,416:202.91:18151654:7.46:21,426:203.07:18408797:7.95:50,439:202.07:32364255:6.48:34,446:201.7:17883581:6.43:15,[431:201.83:17186554:6.42:16
QQQ_120619C196.5,386:200.2649,386:199.76,386:201.23:15155921:6.17:1,386:200.96:10128652:6.06:24,386:201.54:14695374:6.46:11,397:201.59:15792836:6.22:15,397:201.43:16903669:6.37:78,474:202.91:18151654:7.09:6,474:203.07:18408797:7.07:53,494:202.07:32364255:6.29:69,470:201.7:17883581:6.07:14,[470:201.83:17186554:6.07:0
QQQ_120619C197,2137:200.2649,2136:199.76,2182:201.23:15155921:5.66:70,2177:200.96:10128652:5.6:30,2177:201.54:14695374:5.94:49,2182:201.59:15792836:5.94:0,2182:201.43:16903669:5.83:70,2252:202.91:18151654:6.68:54,2259:203.07:18408797:6.96:79,2290:202.07:32364255:5.79:96,2353:201.7:17883581:5.85:38,[2386:201.83:17186554:5.67:107
QQQ_120619C197.5,181:200.2649,362:199.76,491:201.23:15155921:5.07:0,491:200.96:10128652:5.07:0,491:201.54:14695374:6.05:32,483:201.59:15792836:5.67:120,534:201.43:16903669:5.57:75,607:202.91:18151654:5.57:0,607:203.07:18408797:6.5:32,620:202.07:32364255:5.43:193,620:201.7:17883581:5.04:3,[619:201.83:17186554:5.15:38
QQQ_120619C198,235:200.2649,326:199.76,452:201.23:15155921:5.04:100,552:200.96:10128652:4.95:27,575:201.54:14695374:5.53:14,572:201.59:15792836:5.1:5,577:201.43:16903669:5.18:297,834:202.91:18151654:5.57:16,838:203.07:18408797:5.73:7,862:202.07:32364255:5.04:239,912:201.7:17883581:4.68:40,[922:201.83:17186554:4.7:99
QQQ_120619C198.5,45:200.2649,194:199.76,193:201.23:15155921:5.25:0,193:200.96:10128652:5.25:0,193:201.54:14695374:4.8:28,200:201.59:15792836:4.93:40,228:201.43:16903669:4.79:77,262:202.91:18151654:5.36:2,260:203.07:18408797:5.54:1,338:202.07:32364255:4.53:56,313:201.7:17883581:4.7:51,[342:201.83:17186554:4.23:39
QQQ_120619C199,169:200.2649,340:199.76,723:201.23:15155921:4.38:65,724:200.96:10128652:4.01:2,726:201.54:14695374:4.52:20,731:201.59:15792836:4.54:48,740:201.43:16903669:4.48:24,754:202.91:18151654:4.71:66,740:203.07:18408797:5.26:36,865:202.07:32364255:4.2:254,822:201.7:17883581:3.89:32,[814:201.83:17186554:3.93:188
QQQ_120619C200,346:200.2649,544:199.76,2288:201.23:15155921:3.85:6112,8274:200.96:10128652:3.56:79,8277:201.54:14695374:3.59:2061,6628:201.59:15792836:3.84:2058,8418:201.43:16903669:3.7:60,8395:202.91:18151654:4.25:2054,7318:203.07:18408797:4.4:339,7494:202.07:32364255:3.53:526,7679:201.7:17883581:3.44:614,[7865:201.83:17186554:3.23:711
QQQ_120619C201,186:200.2649,428:199.76,610:201.23:15155921:3.24:93,631:200.96:10128652:2.93:52,644:201.54:14695374:3.08:91,646:201.59:15792836:3.25:354,763:201.43:16903669:3.09:206,771:202.91:18151654:3.55:260,784:203.07:18408797:3.91:161,693:202.07:32364255:2.81:701,701:201.7:17883581:2.73:366,[910:201.83:17186554:2.54:1093
QQQ_120619C202,1983:200.2649,2101:199.76,2465:201.23:15155921:2.56:275,2566:200.96:10128652:2.39:33,2541:201.54:14695374:2.66:2004,3491:201.59:15792836:2.51:1553,2969:201.43:16903669:2.5:694,2781:202.91:18151654:2.9:1307,3631:203.07:18408797:2.99:1606,3654:202.07:32364255:2.21:1320,3849:201.7:17883581:2.14:1323,[4247:201.83:17186554:1.9:7826
QQQ_120619C202.5,40:200.2649,45:199.76,109:201.23:15155921:2.15:10,99:200.96:10128652:2.13:13,99:201.54:14695374:2.25:21,116:201.59:15792836:2.31:49,130:201.43:16903669:2.1:62,152:202.91:18151654:2.58:223,283:203.07:18408797:2.64:216,400:202.07:32364255:1.9:1033,628:201.7:17883581:1.78:123,[650:201.83:17186554:1.52:297
QQQ_120619C203,227:200.2649,245:199.76,525:201.23:15155921:2.09:88,539:200.96:10128652:1.93:31,561:201.54:14695374:1.91:89,542:201.59:15792836:2.16:12,542:201.43:16903669:1.95:51,558:202.91:18151654:2.28:3895,3246:203.07:18408797:2.37:2057,4701:202.07:32364255:1.67:3754,4023:201.7:17883581:1.56:273,[4048:201.83:17186554:1.35:628
QQQ_120619C204,249:200.2649,1390:199.76,3415:201.23:15155921:1.63:2137,2152:200.96:10128652:1.42:16,2154:201.54:14695374:1.65:525,2162:201.59:15792836:1.63:107,2229:201.43:16903669:1.41:33,2224:202.91:18151654:1.73:206,2339:203.07:18408797:1.72:294,2353:202.07:32364255:1.18:1478,3405:201.7:17883581:0.99:180,[3436:201.83:17186554:0.88:437
QQQ_120619C205,109:200.2649,178:199.76,393:201.23:15155921:1.26:2207,2528:200.96:10128652:1.12:42,2526:201.54:14695374:1.27:101,2577:201.59:15792836:1.21:917,3245:201.43:16903669:1.07:31,3242:202.91:18151654:1.3:174,3275:203.07:18408797:1.3:347,3395:202.07:32364255:0.77:353,3502:201.7:17883581:0.67:841,[3691:201.83:17186554:0.55:447
QQQ_120619C206,478:200.2649,467:199.76,841:201.23:15155921:0.98:20,848:200.96:10128652:0.83:17,841:201.54:14695374:0.94:261,1031:201.59:15792836:0.92:155,1173:201.43:16903669:0.76:27,1180:202.91:18151654:0.91:94,1227:203.07:18408797:1.0:89,2795:202.07:32364255:0.5:80,2775:201.7:17883581:0.43:261,[2895:201.83:17186554:0.33:252
