Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COST_112919C277.5,0.0,0:297.05,1:296.5,1:298.94,1:295.86,1:299.69,1:297.11,1.0,1:296.82,1:299.18,1:301.57,1:305.21:2399347:20.02:0,1:302.62:1492559:20.02:0,1:300.84:1110020:20.02:0,1:300.5:1439161:20.02:0,1:302.9:1514298:20.02:0,1:304.59:1255483:20.02:0,1:303.66:1613590:20.02:0,U:304.54:1241527::,1:302.24:1760759:20.02:0,1:300.66:1153090:20.02:0,1:300.27:1302385:20.02:0,[1:299.31:1277135:20.02:0
COST_112919C280,0.0,0:297.05,0:296.5,0:298.94,2:295.86,2:299.69,2:297.11,2.0,2:296.82,2:299.18,3:301.57,2:305.21:2399347:19.8:0,2:302.62:1492559:19.8:0,2:300.84:1110020:19.8:0,2:300.5:1439161:19.8:0,2:302.9:1514298:24.1:1,3:304.59:1255483:25.18:1,3:303.66:1613590:23.84:1,4:304.54:1241527:23.84:0,4:302.24:1760759:23.84:0,4:300.66:1153090:23.84:0,4:300.27:1302385:23.84:0,[4:299.31:1277135:17.5:7
COST_112919C282.5,1.0,1:297.05,1:296.5,1:298.94,1:295.86,1:299.69,1:297.11,1.0,1:296.82,1:299.18,1:301.57,1:305.21:2399347:20.0:0,1:302.62:1492559:20.0:0,1:300.84:1110020:20.0:0,1:300.5:1439161:20.0:0,1:302.9:1514298:20.0:0,1:304.59:1255483:20.0:0,1:303.66:1613590:20.0:0,1:304.54:1241527:20.0:0,1:302.24:1760759:20.0:0,1:300.66:1153090:20.0:0,1:300.27:1302385:18.02:2,[3:299.31:1277135:15.82:10
COST_112919C285,3.0,3:297.05,4:296.5,4:298.94,5:295.86,5:299.69,5:297.11,5.0,5:296.82,5:299.18,5:301.57,5:305.21:2399347:14.86:0,5:302.62:1492559:19.29:1,5:300.84:1110020:19.29:0,5:300.5:1439161:19.29:0,5:302.9:1514298:19.29:0,5:304.59:1255483:19.29:0,5:303.66:1613590:19.29:0,5:304.54:1241527:19.86:13,15:302.24:1760759:19.86:0,15:300.66:1153090:13.2:2,15:300.27:1302385:15.64:1,[16:299.31:1277135:13.31:6
COST_112919C287.5,4.0,4:297.05,4:296.5,4:298.94,4:295.86,4:299.72,4:297.11,4.0,4:296.82,9:299.18,119:301.57,120:305.21:2399347:18.22:88,69:302.62:1492559:18.22:0,69:300.84:1110020:13.6:1,69:300.5:1439161:13.6:0,69:302.9:1514298:13.6:0,69:304.59:1255483:13.6:0,69:303.66:1613590:13.6:0,69:304.54:1241527:18.07:10,61:302.24:1760759:14.94:2,61:300.66:1153090:13.55:1,60:300.27:1302385:13.55:0,[60:299.31:1277135:13.55:0
COST_112919C290,12.0,13:297.05,43:296.5,43:298.94,43:295.86,42:299.72,42:297.11,47.0,46:296.82,60:299.18,65:301.57,70:305.21:2399347:14.0:2,70:302.62:1492559:14.0:0,70:300.84:1110020:13.15:1,70:300.5:1439161:12.16:7,70:302.9:1514298:14.33:19,68:304.59:1255483:14.2:15,57:303.66:1613590:13.7:9,66:304.54:1241527:13.7:0,66:302.24:1760759:13.7:0,66:300.66:1153090:9.0:10,69:300.27:1302385:12.89:1,[69:299.31:1277135:9.55:117
COST_112919C292.5,13.0,13:297.05,16:296.5,16:298.94,15:295.86,18:299.72,18:297.11,18.0,26:296.82,30:299.18,135:301.57,133:305.21:2399347:13.72:96,91:302.62:1492559:11.65:2,90:300.84:1110020:10.0:8,86:300.5:1439161:9.15:7,86:302.9:1514298:10.4:2,85:304.59:1255483:13.2:1,85:303.66:1613590:13.2:0,85:304.54:1241527:13.88:11,79:302.24:1760759:10.1:13,80:300.66:1153090:7.0:12,69:300.27:1302385:9.4:1,[70:299.31:1277135:7.2:108
COST_112919C295,46.0,48:297.05,62:296.5,84:298.94,79:295.86,92:299.68,103:297.11,116.0,127:296.82,134:299.18,136:301.57,130:305.21:2399347:13.1:30,121:302.62:1492559:10.44:2,119:300.84:1110020:8.02:10,116:300.5:1439161:7.6:13,120:302.9:1514298:9.95:7,120:304.59:1255483:11.25:5,121:303.66:1613590:9.05:22,116:304.54:1241527:10.36:16,113:302.24:1760759:8.15:14,112:300.66:1153090:6.15:104,120:300.27:1302385:6.61:20,[130:299.31:1277135:5.02:35
COST_112919C297.5,29.0,34:297.05,57:296.5,66:298.94,99:295.86,100:299.63,101:297.11,114.0,126:296.82,155:299.18,161:301.57,145:305.21:2399347:9.9:47,121:302.62:1492559:7.62:14,122:300.84:1110020:6.0:4,119:300.5:1439161:5.55:5,118:302.9:1514298:7.95:20,121:304.59:1255483:8.05:20,134:303.66:1613590:8.25:15,129:304.54:1241527:8.95:18,123:302.24:1760759:6.94:9,122:300.66:1153090:4.86:83,121:300.27:1302385:4.46:7,[121:299.31:1277135:3.18:309
COST_112919C300,687.0,3192:297.05,3316:296.5,3351:298.94,3403:295.86,3462:299.62,3429:297.11,3475.0,3443:296.82,3473:299.18,3483:301.57,3356:305.21:2399347:7.85:596,2974:302.62:1492559:6.09:65,2941:300.84:1110020:4.65:57,2947:300.5:1439161:4.3:123,2985:302.9:1514298:6.2:147,2953:304.59:1255483:6.69:120,2908:303.66:1613590:5.59:179,2916:304.54:1241527:6.22:1395,1897:302.24:1760759:4.55:341,1866:300.66:1153090:3.6:460,1904:300.27:1302385:2.56:264,[1904:299.31:1277135:1.76:942
