Symbol,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABBV_112219P82.5,0,0:82.99,4:81.93,6:82.08,7:82.01:6560104:1.4:2,9:85.17:9420181:0.64:1,10:85.54:6219193:0.41:6,11:86.54:9648955:0.17:15,20:86.57:4948264:0.15:7,27:87.64:4676686:0.13:3,27:88.59:6687424:0.07:52,71:267.1:21677338:0.03:53,27:89.02:7469818:0.03:0,27:87.21:5829334:0.04:1,26:86.52:9181283:0.05:4,[27:86.05:7728326:0.05:0
ABBV_112219P83,0,15:82.99,35:81.93,36:82.08,34:82.01:6560104:2.01:0,34:85.17:9420181:0.6:35,59:85.54:6219193:0.48:38,82:86.54:9648955:0.29:50,64:86.57:4948264:0.19:1,64:87.64:4676686:0.15:3,64:88.59:6687424:0.08:74,127:267.1:21677338:0.04:23,106:89.02:7469818:0.03:23,106:87.21:5829334:0.06:12,113:86.52:9181283:0.05:26,[105:86.05:7728326:0.01:2
ABBV_112219P83.5,0,0:82.99,1:81.93,1:82.08,1:82.01:6560104:1.59:0,1:85.17:9420181:0.74:6,7:85.54:6219193:0.49:35,28:86.54:9648955:0.33:30,50:86.57:4948264:0.24:69,94:87.64:4676686:0.18:36,125:88.59:6687424:0.1:140,234:267.1:21677338:0.1:1,234:89.02:7469818:0.1:0,234:87.21:5829334:0.11:2,233:86.52:9181283:0.02:110,[226:86.05:7728326:0.01:4
ABBV_112219P84,0,0:82.99,2:81.93,2:82.08,2:82.01:6560104:2.13:1,2:85.17:9420181:0.86:35,25:85.54:6219193:0.62:35,50:86.54:9648955:0.35:32,69:86.57:4948264:0.29:43,102:87.64:4676686:0.22:59,109:88.59:6687424:0.1:47,117:267.1:21677338:0.08:58,132:89.02:7469818:0.04:29,152:87.21:5829334:0.15:23,168:86.52:9181283:0.05:163,[196:86.05:7728326:0.01:13
ABBV_112219P85,3,3:82.99,3:81.93,11:82.08,11:82.01:6560104:3.4:109,42:85.17:9420181:1.24:97,113:85.54:6219193:0.99:113,183:86.54:9648955:0.64:157,310:86.57:4948264:0.52:44,320:87.64:4676686:0.34:73,353:88.59:6687424:0.16:104,378:267.1:21677338:0.13:195,481:89.02:7469818:0.08:164,434:87.21:5829334:0.24:532,451:86.52:9181283:0.13:328,[461:86.05:7728326:0.01:86
ABBV_112219P86,0,0:82.99,0:81.93,0:82.08,0:82.01:6560104:0.0:0,0:85.17:9420181:1.74:39,27:85.54:6219193:1.43:26,47:86.54:9648955:1.0:855,610:86.57:4948264:0.78:717,825:87.64:4676686:0.5:100,849:88.59:6687424:0.29:942,830:267.1:21677338:0.19:132,888:89.02:7469818:0.12:130,937:87.21:5829334:0.4:545,1061:86.52:9181283:0.36:317,[1106:86.05:7728326:0.09:302
ABBV_112219P86.5,0,0:82.99,0:81.93,0:82.08,1:82.01:6560104:4.35:4,5:85.17:9420181:2.35:3,5:85.54:6219193:2.75:2,5:86.54:9648955:1.37:361,208:86.57:4948264:0.93:104,223:87.64:4676686:0.68:49,231:88.59:6687424:0.33:221,345:267.1:21677338:0.26:47,350:89.02:7469818:0.22:27,347:87.21:5829334:0.51:541,389:86.52:9181283:0.58:139,[419:86.05:7728326:0.54:249
ABBV_112219P87,0,0:82.99,0:81.93,0:82.08,0:82.01:6560104:4.8:2,2:85.17:9420181:3.3:2,3:85.54:6219193:3.3:0,3:86.54:9648955:1.4:196,159:86.57:4948264:1.16:22,157:87.64:4676686:0.83:330,327:88.59:6687424:0.46:677,699:267.1:21677338:0.35:251,782:89.02:7469818:0.23:261,786:87.21:5829334:0.7:424,809:86.52:9181283:1.0:49,[804:86.05:7728326:0.73:161
ABBV_112219P90,0,0:82.99,1:81.93,1:82.08,0:82.01:6560104:7.3:0,0:85.17:9420181:5.4:3,3:85.54:6219193:5.0:1,2:86.54:9648955:3.1:22,19:86.57:4948264:3.2:1,20:87.64:4676686:3.45:20,24:88.59:6687424:1.89:64,29:267.1:21677338:1.4:30,34:89.02:7469818:1.16:206,96:87.21:5829334:2.83:47,93:86.52:9181283:3.6:20,[86:86.05:7728326:3.7:16
ABBV_112919P76.5,2,5:82.99,5:81.93,5:82.08,9:82.01:6560104:0.4:0,9:85.17:9420181:0.4:0,9:85.54:6219193:0.4:0,9:86.54:9648955:0.4:0,9:86.57:4948264:0.4:0,9:87.64:4676686:0.4:0,9:88.59:6687424:0.4:0,9:267.1:21677338:0.4:0,9:89.02:7469818:0.4:0,9:87.21:5829334:0.03:11,20:86.52:9181283:0.03:0,20:86.05:7728326:0.03:0
