Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_112919C35.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919C36,5:38.45,5:38.93,5:39.12,5:39.18:1975398:1.67:0,5:39.26:834553:1.67:0,5:39.59:870370:3.6:5,5:39.1:1020665:3.6:0,5:39.34:929455:3.6:0,0:38.69:1013846:3.6:0,0:39.02:1174741:3.6:0,0:75.43:212417:3.6:0,0:38.73:1214584:3.6:0,0:38.94:770105:3.6:0,0:38.76:1014804:3.6:0,[0:38.64:777620:3.6:0
JBL_112919C36.5,14:38.45,14:38.93,14:39.12,14:39.18:1975398:2.4:0,14:39.26:834553:2.4:0,14:39.59:870370:2.4:0,14:39.1:1020665:2.4:0,14:39.34:929455:2.4:0,14:38.69:1013846:2.4:0,14:39.02:1174741:2.4:0,14:75.43:212417:2.4:0,14:38.73:1214584:2.4:0,14:38.94:770105:2.4:0,14:38.76:1014804:2.4:0,[14:38.64:777620:2.4:0
JBL_112919C37,18:38.45,18:38.93,17:39.12,17:39.18:1975398:2.35:0,17:39.26:834553:2.35:0,17:39.59:870370:2.35:0,17:39.1:1020665:2.35:0,17:39.34:929455:2.35:0,17:38.69:1013846:1.95:5,22:39.02:1174741:1.95:0,22:75.43:212417:1.78:3,21:38.73:1214584:1.54:6,16:38.94:770105:1.54:0,16:38.76:1014804:1.54:0,[16:38.64:777620:1.54:0
JBL_112919C37.5,1:38.45,1:38.93,1:39.12,1:39.18:1975398:1.0:0,1:39.26:834553:1.0:0,1:39.59:870370:1.0:0,1:39.1:1020665:1.0:0,1:39.34:929455:1.0:0,1:38.69:1013846:1.0:0,1:39.02:1174741:1.0:0,U:75.43:212417::,1:38.73:1214584:1.0:0,1:38.94:770105:1.0:0,1:38.76:1014804:1.0:0,[1:38.64:777620:1.0:0
JBL_112919C38,44:38.45,44:38.93,44:39.12,44:39.18:1975398:0.75:0,44:39.26:834553:0.75:0,44:39.59:870370:0.75:0,44:39.1:1020665:0.75:0,44:39.34:929455:0.75:0,44:38.69:1013846:0.75:0,44:39.02:1174741:0.75:0,44:75.43:212417:0.75:0,44:38.73:1214584:0.75:0,44:38.94:770105:1.37:2,46:38.76:1014804:1.37:0,[46:38.64:777620:1.03:1
JBL_112919C38.5,0:38.45,1:38.93,1:39.12,1:39.18:1975398:1.36:2,3:39.26:834553:1.36:0,3:39.59:870370:1.36:0,3:39.1:1020665:1.36:0,3:39.34:929455:1.36:0,3:38.69:1013846:1.36:0,3:39.02:1174741:1.36:0,3:75.43:212417:1.36:0,3:38.73:1214584:0.55:12,13:38.94:770105:0.7:4,14:38.76:1014804:0.65:10,[24:38.64:777620:0.65:0
JBL_112919C39,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:1.0:1,1:39.59:870370:1.0:0,1:39.1:1020665:1.0:0,1:39.34:929455:1.0:0,1:38.69:1013846:1.0:0,1:39.02:1174741:1.0:0,U:75.43:212417::,1:38.73:1214584:0.35:3,3:38.94:770105:0.65:1,4:38.76:1014804:0.4:1,[4:38.64:777620:0.28:6
JBL_112919C39.5,13:38.45,13:38.93,13:39.12,13:39.18:1975398:0.35:0,13:39.26:834553:0.35:0,13:39.59:870370:0.35:0,13:39.1:1020665:0.35:0,13:39.34:929455:0.57:4,17:38.69:1013846:0.57:0,17:39.02:1174741:0.57:0,17:75.43:212417:0.57:0,17:38.73:1214584:0.57:0,17:38.94:770105:0.3:51,55:38.76:1014804:0.3:0,[55:38.64:777620:0.3:0
JBL_112919C40,56:38.45,58:38.93,58:39.12,74:39.18:1975398:0.54:0,74:39.26:834553:0.54:0,74:39.59:870370:0.54:0,74:39.1:1020665:0.54:0,74:39.34:929455:0.54:0,74:38.69:1013846:0.54:0,74:39.02:1174741:0.54:0,U:75.43:212417::,66:38.73:1214584:0.1:1,67:38.94:770105:0.17:1,67:38.76:1014804:0.1:10,[77:38.64:777620:0.04:5
