Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HD_112219C245,102.0,107:233.89,104:234.38,107:236.8,109:234.14,113:235.99,123:234.58,129.0,138:234.92,166:232.2,181:234.01,192:232.94:2832532:0.68:11,199:232.84:2086474:0.59:30,220:231.8:2269738:0.44:32,223:233.12:2712655:0.62:77,291:234.8:2392138:0.79:14,291:236.55:2276413:1.19:240,431:237.29:3473888:1.01:792,961:81.75:121791:1.52:4472,3147:225.86:14970938:0.07:2194,3162:221.41:6974466:0.01:190,3060:218.54:7633694:0.01:174,2976:218.03:5774296:0.01:101
HD_112219C247.5,19.0,18:233.89,18:234.38,20:236.8,26:234.14,26:236.03,26:234.58,26.0,52:234.92,77:232.2,82:234.01,83:232.94:2832532:0.39:12,95:232.84:2086474:0.29:26,112:231.8:2269738:0.24:6,108:233.12:2712655:0.3:6,112:234.8:2392138:0.5:235,318:236.55:2276413:0.76:370,672:237.29:3473888:0.6:419,989:81.75:121791:0.9:4483,3517:225.86:14970938:0.04:1685,2456:221.41:6974466:0.03:295,2308:218.54:7633694:0.01:119,2237:218.03:5774296:0.01:343
HD_112219C250,65.0,90:233.89,90:234.38,93:236.8,96:234.14,105:236.02,105:234.58,106.0,108:234.92,117:232.2,120:234.01,130:232.94:2832532:0.36:12,139:232.84:2086474:0.17:8,140:231.8:2269738:0.19:44,176:233.12:2712655:0.22:4,173:234.8:2392138:0.26:35,177:236.55:2276413:0.42:30,174:237.29:3473888:0.38:96,224:81.75:121791:0.55:4338,3077:225.86:14970938:0.05:2701,2640:221.41:6974466:0.01:171,2529:218.54:7633694:0.01:53,2503:218.03:5774296:0.05:49
HD_112219C252.5,364.0,371:233.89,371:234.38,370:236.8,370:234.14,370:236.05,370:234.58,370.0,371:234.92,357:232.2,357:234.01,357:232.94:2832532:0.24:5,360:232.84:2086474:0.24:0,360:231.8:2269738:0.1:33,380:233.12:2712655:0.13:3,383:234.8:2392138:0.15:2,381:236.55:2276413:0.22:5,384:237.29:3473888:0.21:94,445:81.75:121791:0.35:1938,1632:225.86:14970938:0.01:1170,1361:221.41:6974466:0.01:41,1367:218.54:7633694:0.01:13,1365:218.03:5774296:0.01:3
HD_112219C255,29.0,29:233.89,29:234.38,29:236.8,24:234.14,28:236.06,28:234.58,30.0,31:234.92,31:232.2,31:234.01,31:232.94:2832532:0.19:0,31:232.84:2086474:0.19:0,31:231.8:2269738:0.19:0,31:233.12:2712655:0.06:10,41:234.8:2392138:0.11:81,120:236.55:2276413:0.16:170,261:237.29:3473888:0.14:93,316:81.75:121791:0.24:2675,1916:225.86:14970938:0.01:504,1693:221.41:6974466:0.01:125,1584:218.54:7633694:0.03:24,1565:218.03:5774296:0.01:8
HD_112219C257.5,1.0,1:233.89,1:234.38,1:236.8,1:234.14,1:236.04,1:234.58,1.0,1:234.92,1:232.2,1:234.01,2:232.94:2832532:0.14:0,2:232.84:2086474:0.14:0,2:231.8:2269738:0.14:0,2:233.12:2712655:0.14:0,2:234.8:2392138:0.14:0,2:236.55:2276413:0.14:0,2:237.29:3473888:0.14:0,2:81.75:121791:0.16:668,558:225.86:14970938:0.01:310,493:221.41:6974466:0.01:0,493:218.54:7633694:0.01:0,493:218.03:5774296:0.01:0
HD_112919C210,0.0,0:233.89,0:234.38,0:236.8,0:234.14,0:236.02,0:234.58,0.0,0:234.92,0:232.2,0:234.01,0:232.94:2832532:0.0:0,0:232.84:2086474:0.0:0,0:231.8:2269738:0.0:0,0:233.12:2712655:0.0:0,0:234.8:2392138:0.0:0,0:236.55:2276413:25.3:5,5:237.29:3473888:27.93:3,6:81.75:121791:27.93:0,6:225.86:14970938:17.1:32,22:221.41:6974466:14.54:2,23:218.54:7633694:9.3:1,[22:218.03:5774296:8.2:13
HD_112919C212.5,0.0,0:233.89,0:234.38,0:236.8,0:234.14,0:236.03,0:234.58,0.0,0:234.92,0:232.2,0:234.01,0:232.94:2832532:0.0:0,0:232.84:2086474:20.19:1,1:231.8:2269738:20.19:0,1:233.12:2712655:20.19:0,1:234.8:2392138:20.19:0,1:236.55:2276413:20.19:0,1:237.29:3473888:20.19:0,1:81.75:121791:20.19:0,1:225.86:14970938:14.5:8,9:221.41:6974466:9.1:5,8:218.54:7633694:6.9:6,[10:218.03:5774296:6.01:26
HD_112919C215,2.0,2:233.89,2:234.38,2:236.8,2:234.14,2:236.0,2:234.58,2.0,2:234.92,2:232.2,2:234.01,3:232.94:2832532:20.2:1,3:232.84:2086474:20.2:0,3:231.8:2269738:20.2:0,3:233.12:2712655:20.2:0,3:234.8:2392138:20.2:0,3:236.55:2276413:20.2:0,3:237.29:3473888:20.2:0,3:81.75:121791:23.37:6,7:225.86:14970938:23.37:0,7:221.41:6974466:6.69:43,52:218.54:7633694:4.6:91,[137:218.03:5774296:3.69:520
HD_112919C217.5,0.0,0:233.89,0:234.38,0:236.8,0:234.14,0:236.02,0:234.58,0.0,0:234.92,0:232.2,0:234.01,0:232.94:2832532:0.0:0,0:232.84:2086474:0.0:0,0:231.8:2269738:0.0:0,0:233.12:2712655:0.0:0,0:234.8:2392138:0.0:0,0:236.55:2276413:0.0:0,0:237.29:3473888:0.0:0,0:81.75:121791:0.0:0,0:225.86:14970938:9.0:3,3:221.41:6974466:4.7:16,38:218.54:7633694:3.0:68,[91:218.03:5774296:1.95:413
