Symbol,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
HD_112219P235,217.0,221:234.38,222:236.8,270:234.14,269:236.24,272:234.58,272.0,280:234.92,834:232.2,839:234.01,840:232.94:2832532:5.7:13,834:232.84:2086474:5.61:11,837:231.8:2269738:5.85:156,787:233.12:2712655:4.9:381,1063:234.8:2392138:4.44:310,878:236.55:2276413:3.4:303,1042:237.29:3473888:3.06:614,1426:81.75:121791:1.96:3295,2682:225.86:14970938:9.22:836,2329:221.43:6980255:13.47:299,1034:218.54:7633694:15.95:123,[939:218.03:5774301:17.08:151
HD_112219P237.5,41.0,38:234.38,38:236.8,38:234.14,38:236.24,58:234.58,58.0,59:234.92,108:232.2,97:234.01,88:232.94:2832532:7.45:50,82:232.84:2086474:6.85:3,82:231.8:2269738:7.5:12,84:233.12:2712655:6.22:76,123:234.8:2392138:5.74:3,123:236.55:2276413:4.52:36,137:237.29:3473888:4.01:419,482:81.75:121791:3.0:1856,1416:225.86:14970938:11.42:791,1068:221.43:6980255:16.25:152,351:218.54:7633694:18.8:29,[206:218.03:5774301:19.51:45
HD_112219P240,47.0,48:234.38,48:236.8,55:234.14,55:236.24,56:234.58,56.0,56:234.92,68:232.2,85:234.01,92:232.94:2832532:8.62:32,101:232.84:2086474:8.85:2,102:231.8:2269738:10.35:18,89:233.12:2712655:10.35:0,89:234.8:2392138:7.3:9,89:236.55:2276413:6.22:15,99:237.29:3473888:5.44:28,104:81.75:121791:4.25:742,566:225.86:14970938:14.0:362,480:221.43:6980255:18.76:149,195:218.54:7633694:21.15:14,[166:218.03:5774301:22.15:58
HD_112219P242.5,10.0,10:234.38,10:236.8,10:234.14,10:236.24,10:234.58,10.0,10:234.92,10:232.2,10:234.01,19:232.94:2832532:9.9:22,25:232.84:2086474:9.9:0,25:231.8:2269738:11.35:6,28:233.12:2712655:11.35:0,28:234.8:2392138:9.35:6,28:236.55:2276413:7.45:4,31:237.29:3473888:7.25:10,41:81.75:121791:5.7:101,111:225.86:14970938:16.07:50,68:221.43:6980255:21.95:101,18:218.54:7633694:21.95:0,[17:218.03:5774301:23.83:1
HD_112219P245,6.0,6:234.38,5:236.8,5:234.14,10:236.24,10:234.58,10.0,11:234.92,11:232.2,11:234.01,11:232.94:2832532:10.55:0,11:232.84:2086474:10.55:0,11:231.8:2269738:10.55:0,11:233.12:2712655:11.56:2,11:234.8:2392138:11.56:0,11:236.55:2276413:11.56:0,11:237.29:3473888:8.7:5,15:81.75:121791:7.52:59,54:225.86:14970938:18.8:65,55:221.43:6980255:24.45:110,3:218.54:7633694:23.86:2,1:218.03:5774301:23.86:0
HD_112219P247.5,1.0,0:234.38,0:236.8,0:234.14,0:236.24,0:234.58,0.0,0:234.92,0:232.2,0:234.01,0:232.94:2832532:13.6:0,0:232.84:2086474:13.6:0,0:231.8:2269738:13.6:0,0:233.12:2712655:13.6:0,0:234.8:2392138:13.6:0,0:236.55:2276413:13.0:1,1:237.29:3473888:13.0:0,1:81.75:121791:9.26:16,14:225.86:14970938:21.05:31,4:221.43:6980255:26.42:3,1:218.54:7633694:28.21:1,1:218.03:5774301:28.21:0
HD_112219P250,14.0,14:234.38,11:236.8,11:234.14,11:236.24,11:234.58,11.0,11:234.92,11:232.2,11:234.01,11:232.94:2832532:16.47:0,11:232.84:2086474:16.47:0,11:231.8:2269738:16.47:0,11:233.12:2712655:16.47:0,11:234.8:2392138:16.47:0,11:236.55:2276413:16.47:0,11:237.29:3473888:16.47:0,11:81.75:121791:11.4:9,15:225.86:14970938:22.24:16,U:221.43:6980255:U:U,U:218.54:7633694:U:U,0:218.03:5774301:28.6:0
HD_112219P252.5,0.0,0:234.38,0:236.8,0:234.14,0:236.24,0:234.58,0.0,0:234.92,0:232.2,0:234.01,0:232.94:2832532:0.0:0,0:232.84:2086474:0.0:0,0:231.8:2269738:0.0:0,0:233.12:2712655:0.0:0,0:234.8:2392138:0.0:0,0:236.55:2276413:0.0:0,0:237.29:3473888:0.0:0,0:81.75:121791:13.98:11,:225.86:14970938:U:U,0:221.43:6980255:22.1:0,U:218.54:7633694:U:U,0:218.03:5774301:22.1:0
HD_112219P255,0.0,0:234.38,0:236.8,0:234.14,0:236.24,0:234.58,0.0,0:234.92,0:232.2,0:234.01,0:232.94:2832532:0.0:0,0:232.84:2086474:0.0:0,0:231.8:2269738:0.0:0,0:233.12:2712655:0.0:0,0:234.8:2392138:0.0:0,0:236.55:2276413:0.0:0,0:237.29:3473888:0.0:0,0:81.75:121791:16.72:10,10:225.86:14970938:27.5:15,0:221.43:6980255:27.5:0,U:218.54:7633694:U:U,0:218.03:5774301:27.5:0
HD_112219P257.5,0.0,0:234.38,0:236.8,0:234.14,0:236.24,0:234.58,0.0,0:234.92,0:232.2,0:234.01,0:232.94:2832532:0.0:0,0:232.84:2086474:0.0:0,0:231.8:2269738:0.0:0,0:233.12:2712655:0.0:0,0:234.8:2392138:0.0:0,0:236.55:2276413:0.0:0,0:237.29:3473888:0.0:0,0:81.75:121791:0.0:0,0:225.86:14970938:0.0:0,0:221.43:6980255:0.0:0,0:218.54:7633694:0.0:0,0:218.03:5774301:0.0:0
HD_112919P210,1536.0,1536:234.38,1536:236.8,1536:234.14,1536:236.24,1536:234.58,1536.0,1536:234.92,1537:232.2,1537:234.01,1534:232.94:2832532:0.36:8,1541:232.84:2086474:0.33:1,1541:231.8:2269738:0.4:64,1541:233.12:2712655:0.4:0,1541:234.8:2392138:0.38:10,1541:236.55:2276413:0.38:0,1541:237.29:3473888:0.28:8,1546:81.75:121791:0.06:16,1551:225.86:14970938:0.08:97,1585:221.43:6980255:0.1:91,1620:218.54:7633694:0.18:276,[1651:218.03:5774301:0.08:579
HD_112919P212.5,6.0,6:234.38,6:236.8,6:234.14,6:236.24,6:234.58,6.0,6:234.92,6:232.2,6:234.01,6:232.94:2832532:0.87:0,6:232.84:2086474:0.87:0,6:231.8:2269738:0.87:0,6:233.12:2712655:0.28:1,7:234.8:2392138:0.28:0,7:236.55:2276413:0.28:0,7:237.29:3473888:0.28:0,7:81.75:121791:0.09:7,9:225.86:14970938:0.09:189,113:221.43:6980255:0.15:42,130:218.54:7633694:0.38:289,[328:218.03:5774301:0.18:1184
HD_112919P215,27.0,27:234.38,17:236.8,17:234.14,17:236.24,17:234.58,19.0,19:234.92,27:232.2,89:234.01,89:232.94:2832532:0.51:2,89:232.84:2086474:0.51:0,89:231.8:2269738:0.51:0,89:233.12:2712655:0.51:0,89:234.8:2392138:0.51:0,89:236.55:2276413:0.36:6,95:237.29:3473888:0.36:0,95:81.75:121791:0.09:315,386:225.86:14970938:0.2:313,607:221.43:6980255:0.36:615,675:218.54:7633694:0.83:393,[714:218.03:5774301:0.53:1001
HD_112919P217.5,5.0,4:234.38,4:236.8,5:234.14,15:236.24,16:234.58,17.0,18:234.92,33:232.2,32:234.01,32:232.94:2832532:0.7:4,32:232.84:2086474:0.78:1,31:231.8:2269738:0.78:0,31:233.12:2712655:0.78:0,31:234.8:2392138:0.61:1,32:236.55:2276413:0.55:3,35:237.29:3473888:0.35:1,36:81.75:121791:0.16:477,456:225.86:14970938:0.37:269,573:221.43:6980255:0.82:875,774:218.54:7633694:1.65:431,[906:218.03:5774301:1.25:827
HD_112919P220,6.0,6:234.38,6:236.8,6:234.14,16:236.24,20:234.58,55.0,50:234.92,51:232.2,55:234.01,54:232.94:2832532:1.1:0,54:232.84:2086474:1.04:2,56:231.8:2269738:1.16:31,86:233.12:2712655:0.92:8,94:234.8:2392138:0.83:21,98:236.55:2276413:0.58:108,149:237.29:3473888:0.43:36,155:81.75:121791:0.25:388,405:225.86:14970938:0.74:790,620:221.43:6980255:1.64:601,562:218.54:7633694:2.82:621,[712:218.03:5774301:2.66:749
