Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112919P26.5,197:27.01:44941622:0.7:285,407:27.14:41300937:0.8:116,493:26.7:32448063:0.85:34,505:26.71:33124982:0.82:136,540:25.99:27991933:1.2:171,536:26.79:41353173:0.69:92,566:26.75:37309667:0.61:107,558:28.03:52741127:0.2:544,819:29.46:55638958:0.04:33,[813:29.56:44372725:0.03:11
UBER_112919P27,967:27.01:44941622:1.1:192,980:27.14:41300937:1.0:408,925:26.7:32448063:1.1:201,910:26.71:33124982:1.05:55,914:25.99:27991933:1.45:396,803:26.79:41353173:0.95:87,825:26.75:37309667:0.85:55,923:28.03:52741127:0.29:444,1050:29.46:55638958:0.07:124,[1085:29.56:44372725:0.04:68
UBER_112919P27.5,906:27.01:44941622:1.38:113,923:27.14:41300937:1.2:41,915:26.7:32448063:1.31:51,908:26.71:33124982:1.35:69,916:25.99:27991933:1.81:1245,1048:26.79:41353173:1.27:36,1043:26.75:37309667:1.24:74,1038:28.03:52741127:0.49:327,1104:29.46:55638958:0.13:176,[1125:29.56:44372725:0.07:111
UBER_112919P28,507:27.01:44941622:1.45:24,513:27.14:41300937:1.5:51,507:26.7:32448063:1.65:11,500:26.71:33124982:1.78:84,493:25.99:27991933:2.26:35,492:26.79:41353173:1.61:13,489:26.75:37309667:1.54:15,493:28.03:52741127:0.65:388,641:29.46:55638958:0.2:500,[677:29.56:44372725:0.13:676
UBER_112919P28.5,223:27.01:44941622:1.85:19,241:27.14:41300937:2.05:6,241:26.7:32448063:2.1:2,240:26.71:33124982:2.45:2,240:25.99:27991933:2.55:1,239:26.79:41353173:2.0:154,380:26.75:37309667:2.0:0,383:28.03:52741127:0.95:192,439:29.46:55638958:0.3:488,[707:29.56:44372725:0.21:291
UBER_112919P29,2023:27.01:44941622:2.35:197,1995:27.14:41300937:2.44:24,1993:26.7:32448063:1.9:1,1993:26.71:33124982:2.71:224,2040:25.99:27991933:3.1:109,1984:26.79:41353173:2.62:5,1984:26.75:37309667:2.6:44,1942:28.03:52741127:1.23:179,1966:29.46:55638958:0.5:1105,[2237:29.56:44372725:0.4:781
UBER_112919P29.5,104:27.01:44941622:2.55:45,148:27.14:41300937:2.75:7,145:26.7:32448063:2.74:1,145:26.71:33124982:3.1:1,145:25.99:27991933:3.5:9,141:26.79:41353173:3.5:0,141:26.75:37309667:3.5:0,141:28.03:52741127:1.7:24,158:29.46:55638958:0.7:415,[358:29.56:44372725:0.61:1241
UBER_112919P30,2831:27.01:44941622:3.24:40,2820:27.14:41300937:3.09:36,2795:26.7:32448063:3.2:5,2797:26.71:33124982:3.62:16,2794:25.99:27991933:4.0:30,2792:26.79:41353173:3.4:14,2793:26.75:37309667:3.2:5,2787:28.03:52741127:2.25:37,2766:29.46:55638958:1.0:783,[2696:29.56:44372725:0.9:2093
UBER_112919P30.5,64:27.01:44941622:3.64:0,64:27.14:41300937:3.5:6,59:26.7:32448063:3.5:0,59:26.71:33124982:3.92:1,59:25.99:27991933:3.8:4,62:26.79:41353173:3.8:0,62:26.75:37309667:3.8:0,62:28.03:52741127:2.55:72,134:29.46:55638958:1.45:232,[272:29.56:44372725:1.1:18
UBER_112919P31,389:27.01:44941622:4.1:22,389:27.14:41300937:4.1:0,389:26.7:32448063:4.3:107,336:26.71:33124982:4.6:5,331:25.99:27991933:5.05:1,330:26.79:41353173:5.05:0,330:26.75:37309667:4.4:1,327:28.03:52741127:2.9:3,328:29.46:55638958:1.7:17,[334:29.56:44372725:1.68:11
